Name,Author,User_Rating,Reviews,Price,Year,Genre,Num_Pages,,,,,
George Washington's Sacred Fire,Peter A. Lillback,4.5,408,20,2010,Non Fiction,1200,,,,,
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2010,Non Fiction,300,,,,,
Life,Keith Richards,4.5,2752,18,2010,Non Fiction,564,,,,,
Little Bee: A Novel,Chris Cleave,4.1,1467,10,2010,Fiction,271,,,,,
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2010,Fiction,398,,,,,
Outliers: The Story of Success,Malcolm Gladwell,4.6,10426,20,2010,Non Fiction,309,,,,,
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,4.8,548,2,2010,Fiction,377,,,,,
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2010,Non Fiction,439,,,,,
Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,1985,9,2010,Non Fiction,230,,,,,
Sarah's Key,Tatiana de Rosnay,4.6,3619,10,2010,Fiction,294,,,,,
Sh*t My Dad Says,Justin Halpern,4.7,1265,11,2010,Non Fiction,159,,,,,
StrengthsFinder 2.0,Gallup,4,5069,17,2010,Non Fiction,175,,,,,
Switch: How to Change Things When Change Is Hard,Chip Heath,4.6,1907,13,2010,Non Fiction,320,,,,,
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,637,20,2010,Non Fiction,332,,,,,
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,28,2010,Non Fiction,232,,,,,
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,11813,10,2010,Fiction,321,,,,,
The Big Short: Inside the Doomsday Machine,Michael Lewis,4.7,3536,17,2010,Non Fiction,320,,,,,
The Confession: A Novel,John Grisham,4.3,3523,13,2010,Fiction,418,,,,,
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,4.4,440,11,2010,Non Fiction,246,,,,,
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,6,2010,Non Fiction,227,,,,,
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,7747,14,2010,Fiction,566,,,,,
The Girl Who Played with Fire (Millennium Series),Stieg Larsson,4.7,7251,9,2010,Fiction,503,,,,,
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,10559,2,2010,Fiction,480,,,,,
The Help,Kathryn Stockett,4.8,13871,6,2010,Fiction,464,,,,,
The Hunger Games,Suzanne Collins,4.7,32122,14,2010,Fiction,374,,,,,
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,13,2010,Non Fiction,370,,,,,
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,4628,7,2010,Fiction,381,,,,,
"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,4.8,4506,14,2010,Fiction,553,,,,,
The Official SAT Study Guide,The College Board,4.4,1201,40,2010,Non Fiction,1008,,,,,
"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,4.6,2186,12,2010,Fiction,528,,,,,
"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,4.6,1204,14,2010,Non Fiction,283,,,,,
The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,4.6,2122,0,2010,Fiction,178,,,,,
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,4.8,3796,12,2010,Fiction,217,,,,,
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,3319,11,2010,Non Fiction,349,,,,,
"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,4.8,2282,21,2010,Fiction,863,,,,,
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,29673,16,2010,Non Fiction,492,,,,,
Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,4.2,1302,11,2010,Non Fiction,224,,,,,
11/22/63: A Novel,Stephen King,4.6,2052,22,2011,Fiction,849,,,,,
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,12643,11,2011,Fiction,1125,,,,,
A Stolen Life: A Memoir,Jaycee Dugard,4.6,4149,32,2011,Non Fiction,304,,,,,
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,4505,0,2011,Fiction,224,,,,,
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2011,Fiction,391,,,,,
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2011,Non Fiction,187,,,,,
Cutting for Stone,Abraham Verghese,4.6,4866,11,2011,Fiction,541,,,,,
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,2094,4,2011,Fiction,336,,,,,
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,9,2011,Non Fiction,380,,,,,
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2011,Fiction,835,,,,,
Go the F**k to Sleep,Adam Mansbach,4.8,9568,9,2011,Fiction,17,,,,,
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2011,Non Fiction,300,,,,,
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,10,2011,Non Fiction,162,,,,,
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4.4,4571,21,2011,Non Fiction,448,,,,,
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,4.6,5299,20,2011,Fiction,849,,,,,
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2011,Non Fiction,384,,,,,
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,10,2011,Non Fiction,324,,,,,
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,1649,13,2011,Non Fiction,243,,,,,
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2011,Fiction,398,,,,,
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163,13,2011,Non Fiction,232,,,,,
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2011,Non Fiction,272,,,,,
Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,1985,9,2011,Non Fiction,439,,,,,
Steve Jobs,Walter Isaacson,4.6,7827,20,2011,Non Fiction,630,,,,,
StrengthsFinder 2.0,Gallup,4,5069,17,2011,Non Fiction,175,,,,,
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,637,20,2011,Non Fiction,332,,,,,
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,4.3,2314,22,2011,Non Fiction,256,,,,,
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,4.3,4587,21,2011,Non Fiction,571,,,,,
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,28,2011,Non Fiction,232,,,,,
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,24,2011,Non Fiction,372,,,,,
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,11813,10,2011,Fiction,321,,,,,
The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,Thomas Campbell,4.7,4633,21,2011,Non Fiction,417,,,,,
"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Pierre Dukan,4.1,2023,15,2011,Non Fiction,262,,,,,
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,6,2011,Non Fiction,227,,,,,
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,7747,14,2011,Fiction,566,,,,,
The Help,Kathryn Stockett,4.8,13871,8,2011,Fiction,464,,,,,
The Help,Kathryn Stockett,4.8,13871,7,2011,Fiction,464,,,,,
The Hunger Games (Book 1),Suzanne Collins,4.7,32122,8,2011,Fiction,374,,,,,
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,16949,30,2011,Fiction,374,,,,,
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,9,2011,Non Fiction,370,,,,,
